"Name","CreatedBy","CreatedOn","Category","Description","AssetType","Manufacturer","ModelNumber","WarrantyGuarantorParts","WarrantyDurationParts","WarrantyGuarantorLabor","WarrantyDurationLabor","WarrantyDurationUnit","ReplacementCost","ExpectedLife","DurationUnit","NominalLength","NominalWidth","NominalHeight","ModelReference","Shape","Size","Color","Finish","Grade","Material","Constituents","Features","AccessibilityPerformance","CodePerformance","SustainabilityPerformance"
"M_Metal Clad Column: 610mm Diameter","del","2026-03-20","Columns","","Fixed","","","","","","","","","","years","","","","610mm Diameter","","","","","","","","","","",""
"M_Rectangular Column: 475 x 610mm","del","2026-03-20","Columns","","Fixed","","","","","","","","","","years","","610","","475 x 610mm","","","","","","","","","","",""
"M_Rectangular Column: 610 x 610mm","del","2026-03-20","Columns","","Fixed","","","","","","","","","","years","","610","","610 x 610mm","","","","","","","","","","",""
"M_Rectangular Column: 457 x 475mm","del","2026-03-20","Columns","","Fixed","","","","","","","","","","years","","475","","457 x 475mm","","","","","","","","","","",""
"UB-Universal Beam-Section: UB686x254x125","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","253","678","UB686x254x125","","","","","","","","","","",""
"UB-Universal Beam-Section: UB610x229x101","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","228","603","UB610x229x101","","","","","","","","","","",""
"UB-Universal Beam-Section: UB533x210x82","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","209","528","UB533x210x82","","","","","","","","","","",""
"UB-Universal Beam-Section: UB457x191x67","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","190","453","UB457x191x67","","","","","","","","","","",""
"UB-Universal Beam-Section: UB457x152x52","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","152","450","UB457x152x52","","","","","","","","","","",""
"UB-Universal Beam-Section: UB406x178x54","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","178","403","UB406x178x54","","","","","","","","","","",""
"UB-Universal Beam-Section: UB356x171x45","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","171","351","UB356x171x45","","","","","","","","","","",""
"UB-Universal Beam-Section: UB305x165x40","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","165","303","UB305x165x40","","","","","","","","","","",""
"UB-Universal Beam-Section: UB305x127x37","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","123","304","UB305x127x37","","","","","","","","","","",""
"UB-Universal Beam-Section: UB305x102x25","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","102","305","UB305x102x25","","","","","","","","","","",""
"UB-Universal Beam-Section: UB254x146x31","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","146","251","UB254x146x31","","","","","","","","","","",""
"UB-Universal Beam-Section: UB254x102x22","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","102","254","UB254x102x22","","","","","","","","","","",""
"UB-Universal Beam-Section: UB203x133x30","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","134","207","UB203x133x30","","","","","","","","","","",""
"M_Bricks-Section: Modular - 10mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","190","","57","Modular - 10mm Joint","","","","","","","","","","",""
"M_Bricks-Section: Modular - 12mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","190","","57","Modular - 12mm Joint","","","","","","","","","","",""
"M_Bricks-Section: Titan - 10mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","190","","63","Titan - 10mm Joint","","","","","","","","","","",""
"M_Bricks-Section: Roman - 10mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","295","","42","Roman - 10mm Joint","","","","","","","","","","",""
"M_Bricks-Section: Roman - 12mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","295","","42","Roman - 12mm Joint","","","","","","","","","","",""
"M_Bricks-Section: King Size - 10mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","240","","70","King Size - 10mm Joint","","","","","","","","","","",""
"M_Bricks-Section: Titan - 12mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","190","","63","Titan - 12mm Joint","","","","","","","","","","",""
"M_Bricks-Section: King Size - 12mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","240","","70","King Size - 12mm Joint","","","","","","","","","","",""
"M_Bricks-Section: Ontario - 10mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","213","","60","Ontario - 10mm Joint","","","","","","","","","","",""
"M_Bricks-Section: Ontario - 12mm Joint","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","213","","60","Ontario - 12mm Joint","","","","","","","","","","",""
"M_Shaft Opening Symbol: Shaft opening symbol","del","2026-03-20","Detail Items","","Fixed","","","","","","","","","","years","","","","Shaft opening symbol","","","","","","","","","","",""
"M_Door-Exterior-Single-Two_Lite: 900 x 2000mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2000","900 x 2000mm","","","","","","","","","","",""
"M_Door-Exterior-Single-Two_Lite: 900 x 2100mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2100","900 x 2100mm","","","","","","","","","","",""
"M_Door-Exterior-Single-Two_Lite: 900 x 2350mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2350","900 x 2350mm","","","","","","","","","","",""
"M_Door-Exterior-Single-Two_Lite: 900 x 2400mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2400","900 x 2400mm","","","","","","","","","","",""
"M_Door-Passage-Double-Flush: 1700 x 2000mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","1700","2000","1700 x 2000mm","","","","","","","","","","",""
"M_Door-Passage-Double-Flush: 1700 x 2100mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","1700","2100","1700 x 2100mm","","","","","","","","","","",""
"M_Door-Passage-Double-Flush: 1800 x 2000mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","1800","2000","1800 x 2000mm","","","","","","","","","","",""
"M_Door-Passage-Double-Flush: 1800 x 2100mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","1800","2100","1800 x 2100mm","","","","","","","","","","",""
"M_Door-Passage-Single-Flush: 750 x 2000mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","750","2000","750 x 2000mm","","","","","","","","","","",""
"M_Door-Passage-Single-Flush: 750 x 2100mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","750","2100","750 x 2100mm","","","","","","","","","","",""
"M_Door-Passage-Single-Flush: 900 x 2000mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2000","900 x 2000mm","","","","","","","","","","",""
"M_Door-Passage-Single-Flush: 900 x 2100mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2100","900 x 2100mm","","","","","","","","","","",""
"M_Door-Passage-Single-Flush: 900 x 2200mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2200","900 x 2200mm","","","","","","","","","","",""
"M_Door-Passage-Single-Flush: 900 x 2350mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2350","900 x 2350mm","","","","","","","","","","",""
"M_Door-Passage-Single-Flush: 900 x 2400mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2400","900 x 2400mm","","","","","","","","","","",""
"M_Door-Passage-Single-Vision_Lite: 750 x 2000mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","750","2000","750 x 2000mm","","","","","","","","","","",""
"M_Door-Passage-Single-Vision_Lite: 750 x 2100mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","750","2100","750 x 2100mm","","","","","","","","","","",""
"M_Door-Passage-Single-Vision_Lite: 900 x 2000mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2000","900 x 2000mm","","","","","","","","","","",""
"M_Door-Passage-Single-Vision_Lite: 900 x 2100mm","del","2026-03-20","Doors","","Fixed","","","","","","","","","","years","","900","2100","900 x 2100mm","","","","","","","","","","",""
"M_C Shapes-Profile: C250X30","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","70","254","C250X30","","","","","","","","","","",""
"M_Circular Rail: 30mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","30mm","","","","","","","","","","",""
"M_Circular Rail: 40mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","40mm","","","","","","","","","","",""
"M_Elliptical Raill: 40x30mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","40x30mm","","","","","","","","","","",""
"M_Fascia-Flat: 19 x 184mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","184","19 x 184mm","","","","","","","","","","",""
"M_Fascia-Flat: 19 x 140mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","140","19 x 140mm","","","","","","","","","","",""
"M_Fascia-Flat: 19 x 286mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","286","19 x 286mm","","","","","","","","","","",""
"M_Fascia-Flat: 19 x 89mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","89","19 x 89mm","","","","","","","","","","",""
"M_Form Deck_Non-Composite: 50 x 150mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","50 x 150mm","","","","","","","","","","",""
"M_Form Deck_Non-Composite: 40 x 150mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","40 x 150mm","","","","","","","","","","",""
"M_Form Deck_Non-Composite: 75 x 200mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","75 x 200mm","","","","","","","","","","",""
"M_Gutter - Bevel: 150 x 150mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","150","150 x 150mm","","","","","","","","","","",""
"M_Reveal-Brick Course: 1 Brick","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","75","1 Brick","","","","","","","","","","",""
"M_Reveal-Brick Course: 2 Bricks","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","150","2 Bricks","","","","","","","","","","",""
"M_Reveal-Brick Course: 3 Bricks","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","225","3 Bricks","","","","","","","","","","",""
"M_Slab Edge-Thickened: 900 x 300mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","900","","900 x 300mm","","","","","","","","","","",""
"M_Slab Edge-Thickened: 900 x 450mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","900","","900 x 450mm","","","","","","","","","","",""
"M_Square Rail: 20mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","20","20","20mm","","","","","","","","","","",""
"M_Stair Nosing - Pan: M_Stair Nosing - Pan","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","M_Stair Nosing - Pan","","","","","","","","","","",""
"M_Stair Nosing - Radius: 20mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","20mm","","","","","","","","","","",""
"M_Stair Nosing - Radius: 30mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","30mm","","","","","","","","","","",""
"M_Stair Nosing - Radius: 40mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","40mm","","","","","","","","","","",""
"M_Stair Tread: M_Stair Tread","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","M_Stair Tread","","","","","","","","","","",""
"M_Square Handrail: 20mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","20","20","20mm","","","","","","","","","","",""
"M_Elliptical Handrail: 40x30mm","del","2026-03-20","Profiles","","Fixed","","","","","","","","","","years","","","","40x30mm","","","","","","","","","","",""
"M_Chair-Task (Arms): M_Chair-Task (Arms)","del","2026-03-20","Furniture","","Moveable","","","","","","","","","","years","","","","M_Chair-Task (Arms)","","","","","","","","","","",""
"M_Desk: 1525 x 762mm","del","2026-03-20","Furniture","","Moveable","","","","","","","","","","years","","1525","762","1525 x 762mm","","","","","","","","","","",""
"M_Desk: 1830 x 915mm","del","2026-03-20","Furniture","","Moveable","","","","","","","","","","years","","1830","762","1830 x 915mm","","","","","","","","","","",""
"M_Desk: 1525 x 762mm Student","del","2026-03-20","Furniture","","Moveable","","","","","","","","","","years","","1525","762","1525 x 762mm Student","","","","","","","","","","",""
"M_GM_OpeningWall_Type: 1250 x 2325mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","1250 x 2325mm","","","","","","","","","","",""
"M_GM_OpeningWall_Type: 1000 x 2350mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","1000 x 2350mm","","","","","","","","","","",""
"M_GM_OpeningWall_Type: 1000 x 2450mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","1000 x 2450mm","","","","","","","","","","",""
"M_GM_OpeningWall_Type: 1700 x 2150mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","1700 x 2150mm","","","","","","","","","","",""
"M_GM_OpeningWall_Type: 1250 x 2175mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","1250 x 2175mm","","","","","","","","","","",""
"M_GM_OpeningWall_Type: 1000 x 2200mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","1000 x 2200mm","","","","","","","","","","",""
"M_Muntin Pattern_2x2: M_Muntin Pattern_2x2","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","M_Muntin Pattern_2x2","","","","","","","","","","",""
"M_Trim-Window-Exterior-Flat: with Sill","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","with Sill","","","","","","","","","","",""
"M_Trim-Window-Exterior-Flat: Picture Frame","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","Picture Frame","","","","","","","","","","",""
"M_Trim-Window-Interior-Flat: with Sill","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","with Sill","","","","","","","","","","",""
"M_Trim-Window-Interior-Flat: Picture Frame","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","","","Picture Frame","","","","","","","","","","",""
"M_Window-Casement-Double: 850 x 900mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","850","900","850 x 900mm","","","","","","","","","","",""
"M_Window-Casement-Double: 1050 x 1350mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","1050","1350","1050 x 1350mm","","","","","","","","","","",""
"M_Window-Casement-Double: 1200 x 1500mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","1200","1500","1200 x 1500mm","","","","","","","","","","",""
"M_Window-Casement-Double: 1400 x 1800mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","1400","1800","1400 x 1800mm","","","","","","","","","","",""
"M_Window-Double-Hung: 600 x 1100mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","600","1100","600 x 1100mm","","","","","","","","","","",""
"M_Window-Double-Hung: 650 x 1100mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","650","1100","650 x 1100mm","","","","","","","","","","",""
"M_Window-Double-Hung: 700 x 1200mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","700","1200","700 x 1200mm","","","","","","","","","","",""
"M_Window-Double-Hung: 750 x 1200mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","750","1200","750 x 1200mm","","","","","","","","","","",""
"M_Window-Fixed: 600 x 900mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","600","900","600 x 900mm","","","","","","","","","","",""
"M_Window-Fixed: 600 x 1500mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","600","1500","600 x 1500mm","","","","","","","","","","",""
"M_Window-Fixed: 750 x 900mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","750","900","750 x 900mm","","","","","","","","","","",""
"M_Window-Fixed: 750 x 1650mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","750","1650","750 x 1650mm","","","","","","","","","","",""
"M_Window-Fixed: 900 x 1200mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","900","1200","900 x 1200mm","","","","","","","","","","",""
"M_Window-Fixed: 900 x 1650mm","del","2026-03-20","Windows","","Fixed","","","","","","","","","","years","","900","1650","900 x 1650mm","","","","","","","","","","",""
"M_Opening with Trim: 0915 x 1220mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","1220","0915 x 1220mm","","","","","","","","","","",""
"M_Opening with Trim: 0915 x 0610mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","610","0915 x 0610mm","","","","","","","","","","",""
"M_Opening with Trim: 0915 x 1830mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","1830","0915 x 1830mm","","","","","","","","","","",""
"M_Opening with Trim: 0610 x 1830mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","610","1830","0610 x 1830mm","","","","","","","","","","",""
"M_Opening with Trim: 0610 x 1220mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","610","1220","0610 x 1220mm","","","","","","","","","","",""
"M_Opening with Trim: 0610 x 0610mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","610","610","0610 x 0610mm","","","","","","","","","","",""
"M_Opening with Trim: 0406 x 0610mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","406","610","0406 x 0610mm","","","","","","","","","","",""
"M_Opening with Trim: 0406 x 1220mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","406","1220","0406 x 1220mm","","","","","","","","","","",""
"M_Opening with Trim: 0406 x 1830mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","406","1830","0406 x 1830mm","","","","","","","","","","",""
"M_Passage Opening-Cased: 0915 x 2134mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","2134","0915 x 2134mm","","","","","","","","","","",""
"M_Passage Opening-Cased: 0762 x 2134mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","762","2134","0762 x 2134mm","","","","","","","","","","",""
"M_Passage Opening-Cased: 0762 x 2032mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","762","2032","0762 x 2032mm","","","","","","","","","","",""
"M_Passage Opening-Cased: 0813 x 2134mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","813","2134","0813 x 2134mm","","","","","","","","","","",""
"M_Passage Opening-Cased: 0864 x 2032mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","864","2032","0864 x 2032mm","","","","","","","","","","",""
"M_Passage Opening-Cased: 0864 x 2134mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","864","2134","0864 x 2134mm","","","","","","","","","","",""
"M_Passage Opening-Cased: 0915 x 2032mm","del","2026-03-20","Generic Models","","Fixed","","","","","","","","","","years","","915","2032","0915 x 2032mm","","","","","","","","","","",""
"M_Downlight - Recessed Can: 152mm Incandescent - 120V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","152mm Incandescent - 120V","","","","","","","","","","",""
"M_Downlight - Recessed Can: 152mm Incandescent - 277V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","152mm Incandescent - 277V","","","","","","","","","","",""
"M_Downlight - Recessed Can: 203mm Incandescent - 120V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","203mm Incandescent - 120V","","","","","","","","","","",""
"M_Downlight - Recessed Can: 203mm Incandescent - 277V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","203mm Incandescent - 277V","","","","","","","","","","",""
"M_Downlight - Recessed Can: Fluorescent - 120V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","Fluorescent - 120V","","","","","","","","","","",""
"M_Downlight - Recessed Can: Fluorescent - 277V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","Fluorescent - 277V","","","","","","","","","","",""
"M_Plain Surface Lighting Fixture: 300x1200 - 120","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","300","","300x1200 - 120","","","","","","","","","","",""
"M_Plain Surface Lighting Fixture: 300x1200 - 277","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","300","","300x1200 - 277","","","","","","","","","","",""
"M_Plain Surface Lighting Fixture: 600x600 - 120","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","600","600","","600x600 - 120","","","","","","","","","","",""
