"Name","CreatedBy","CreatedOn","Category","Description","AssetType","Manufacturer","ModelNumber","WarrantyGuarantorParts","WarrantyDurationParts","WarrantyGuarantorLabor","WarrantyDurationLabor","WarrantyDurationUnit","ReplacementCost","ExpectedLife","DurationUnit","NominalLength","NominalWidth","NominalHeight","ModelReference","Shape","Size","Color","Finish","Grade","Material","Constituents","Features","AccessibilityPerformance","CodePerformance","SustainabilityPerformance"
"M_Plain Surface Lighting Fixture: 600x600 - 277","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","600","600","","600x600 - 277","","","","","","","","","","",""
"M_Plain Surface Lighting Fixture: 600x1200 - 120","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","600","","600x1200 - 120","","","","","","","","","","",""
"M_Plain Surface Lighting Fixture: 600x1200 - 277","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","600","","600x1200 - 277","","","","","","","","","","",""
"M_Plain Surface Lighting Fixture: 1200x1200 - 120","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","1200","","1200x1200 - 120","","","","","","","","","","",""
"M_Plain Surface Lighting Fixture: 1200x1200 - 277","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","1200","","1200x1200 - 277","","","","","","","","","","",""
"M_Troffer Light - Parabolic Rectangular: 0600x1200mm(2 Lamp) - 120V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","0600x1200mm(2 Lamp) - 120V","","","","","","","","","","",""
"M_Troffer Light - Parabolic Rectangular: 0600x1200mm(2 Lamp) - 277V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","0600x1200mm(2 Lamp) - 277V","","","","","","","","","","",""
"M_Troffer Light - Parabolic Rectangular: 0600x1200mm(4 Lamp) - 120V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","0600x1200mm(4 Lamp) - 120V","","","","","","","","","","",""
"M_Troffer Light - Parabolic Rectangular: 0600x1200mm(4 Lamp) - 277V","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","","","","0600x1200mm(4 Lamp) - 277V","","","","","","","","","","",""
"M_Downlight - Rectangle - LED: 18W Square","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","600","600","","18W Square","","","","","","","","","","",""
"M_Downlight - Rectangle - LED: 25W Rectangle","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","600","","25W Rectangle","","","","","","","","","","",""
"M_Downlight - Rectangle - LED: 29W Square","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","600","600","","29W Square","","","","","","","","","","",""
"M_Downlight - Rectangle - LED: 35W Square","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","600","600","","35W Square","","","","","","","","","","",""
"M_Downlight - Rectangle - LED: 40W Rectangle","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","600","","40W Rectangle","","","","","","","","","","",""
"M_Downlight - Rectangle - LED: 47W Rectangle","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","600","","47W Rectangle","","","","","","","","","","",""
"M_Downlight - Rectangle - LED: 68W Rectangle","del","2026-03-20","Lighting Fixtures","","Fixed","","","","","","","","","","years","1200","600","","68W Rectangle","","","","","","","","","","",""
"M_Parking Space: 4800 x 2400mm - 90 deg","del","2026-03-20","Parking","","Fixed","","","","","","","","","","years","","","","4800 x 2400mm - 90 deg","","","","","","","","","","",""
"M_Parking Space: 4800 x 2400mm - 60 deg","del","2026-03-20","Parking","","Fixed","","","","","","","","","","years","","","","4800 x 2400mm - 60 deg","","","","","","","","","","",""
"M_Parking Space: 4800 x 2400mm - 80 deg","del","2026-03-20","Parking","","Fixed","","","","","","","","","","years","","","","4800 x 2400mm - 80 deg","","","","","","","","","","",""
"M_Parking Space: 4800 x 2400mm - 70 deg","del","2026-03-20","Parking","","Fixed","","","","","","","","","","years","","","","4800 x 2400mm - 70 deg","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Scarlet Oak - 12.5 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","12500","Scarlet Oak - 12.5 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Red Maple - 9 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","9000","Red Maple - 9 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Kousa Dogwood - 3.0 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","3000","Kousa Dogwood - 3.0 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Lombardy Poplar - 12.2 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","12200","Lombardy Poplar - 12.2 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Siberian Crab Apple - 6.1 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","6100","Siberian Crab Apple - 6.1 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Gray Birch - 3.1 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","3100","Gray Birch - 3.1 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Red Ash - 7.6 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","7600","Red Ash - 7.6 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Fraxinus - 5.6 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","5600","Fraxinus - 5.6 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: American Beech - 6.0 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","6000","American Beech - 6.0 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Blue Berry Elder - 4.5 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","4500","Blue Berry Elder - 4.5 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Comman Apple - 6.0 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","6000","Comman Apple - 6.0 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Golden Chain - 5.5 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","5500","Golden Chain - 5.5 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Hawthorn - 7.4 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","7400","Hawthorn - 7.4 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Honey Locust - 7.6 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","7600","Honey Locust - 7.6 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Japanese Cherry - 4.5 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","4500","Japanese Cherry - 4.5 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Japanese Maple - 3.0 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","3000","Japanese Maple - 3.0 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Largetooth Aspen - 7.6 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","7600","Largetooth Aspen - 7.6 Meters","","","","","","","","","","",""
"M_RPC Tree - Deciduous: Shumard Oak - 9.1 Meters","del","2026-03-20","Planting","","Fixed","","","","","","","","","","years","","","9100","Shumard Oak - 9.1 Meters","","","","","","","","","","",""
"M_Water Closet - Flush Tank: Public - Flushing Greater than 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Public - Flushing Greater than 6.1 Lpf","","","","","","","","","","",""
"M_Water Closet - Flush Tank: Private - Flushing Greater than 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Private - Flushing Greater than 6.1 Lpf","","","","","","","","","","",""
"M_Water Closet - Flush Tank: Public - 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Public - 6.1 Lpf","","","","","","","","","","",""
"M_Water Closet - Flush Tank: Private - 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Private - 6.1 Lpf","","","","","","","","","","",""
"M_Water Closet - Flush Valve - Floor Mounted: Private - Flushing Greater than 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Private - Flushing Greater than 6.1 Lpf","","","","","","","","","","",""
"M_Water Closet - Flush Valve - Floor Mounted: Public - 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Public - 6.1 Lpf","","","","","","","","","","",""
"M_Water Closet - Flush Valve - Floor Mounted: Public - Flushing Greater than 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Public - Flushing Greater than 6.1 Lpf","","","","","","","","","","",""
"M_Water Closet - Flush Valve - Floor Mounted: Private - 6.1 Lpf","del","2026-03-20","Plumbing Fixtures","","Fixed","","","","","","","","","","years","","","","Private - 6.1 Lpf","","","","","","","","","","",""
"M_Dishwasher: 600mm","del","2026-03-20","Specialty Equipment","","Moveable","","","","","","","","","","years","","600","850","600mm","","","","","","","","","","",""
"M_Fire Extinguisher Cabinet: 240 x 115 x 610mm","del","2026-03-20","Specialty Equipment","","Moveable","","","","","","","","","","years","","240","610","240 x 115 x 610mm","","","","","","","","","","",""
"M_Fire Extinguisher Cabinet: 280 x 152 x 660mm","del","2026-03-20","Specialty Equipment","","Moveable","","","","","","","","","","years","","280","660","280 x 152 x 660mm","","","","","","","","","","",""
"M_Fire Extinguisher Cabinet: 305 x 215 x 813mm","del","2026-03-20","Specialty Equipment","","Moveable","","","","","","","","","","years","","305","813","305 x 215 x 813mm","","","","","","","","","","",""
"M_Concrete-Rectangular-Column: 300 x 450mm","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","300 x 450mm","","","","","","","","","","",""
"M_Concrete-Rectangular-Column: 450 x 600mm","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","450 x 600mm","","","","","","","","","","",""
"M_Concrete-Rectangular-Column: 600 x 750mm","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","600 x 750mm","","","","","","","","","","",""
"UC-Universal Column-Column: 356x406x393UC","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","356x406x393UC","","","","","","","","","","",""
"UC-Universal Column-Column: 356x368x129UC","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","356x368x129UC","","","","","","","","","","",""
"UC-Universal Column-Column: 254x254x132UC","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","254x254x132UC","","","","","","","","","","",""
"UC-Universal Column-Column: 254x254x73UC","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","254x254x73UC","","","","","","","","","","",""
"UC-Universal Column-Column: 203x203x46UC","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","203x203x46UC","","","","","","","","","","",""
"M_HSS-Hollow Structural Section-Column: HSS152.4X152.4X7.9","del","2026-03-20","Structural Columns","","Fixed","","","","","","","","","","years","","","","HSS152.4X152.4X7.9","","","","","","","","","","",""
"Elevator-Hydraulic: 1587 kg","del","2026-03-20","Vertical Circulation","","Fixed","","","","","","","","","","years","","2550","","1587 kg","","","","","","","","","","",""
"Elevator-Hydraulic: 1360 kg","del","2026-03-20","Vertical Circulation","","Fixed","","","","","","","","","","years","","2500","","1360 kg","","","","","","","","","","",""
"Elevator-Hydraulic: 1133 kg","del","2026-03-20","Vertical Circulation","","Fixed","","","","","","","","","","years","","2550","","1133 kg","","","","","","","","","","",""
"Elevator-Hydraulic: 0907 kg","del","2026-03-20","Vertical Circulation","","Fixed","","","","","","","","","","years","","2250","","0907 kg","","","","","","","","","","",""
"Elevator-Hydraulic: 0680 kg","del","2026-03-20","Vertical Circulation","","Fixed","","","","","","","","","","years","","2050","","0680 kg","","","","","","","","","","",""
"M_Howe Flat Truss: Standard","del","2026-03-20","Structural Trusses","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Linear Stiffener-Plate: Standard","del","2026-03-20","Structural Stiffeners","","Fixed","","","","","","","","","","years","","","","Standard","","","","","","","","","","",""
"M_Footing-Rectangular: 1800 x 1200 x 450mm","del","2026-03-20","Structural Foundations","","Fixed","","","","","","","","","","years","1800","1200","","1800 x 1200 x 450mm","","","","","","","","","","",""
"M_Footing-Rectangular: 2400 x 1800 x 450mm","del","2026-03-20","Structural Foundations","","Fixed","","","","","","","","","","years","2400","1800","","2400 x 1800 x 450mm","","","","","","","","","","",""
"M_C Shapes: C380X50.4","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","86","381","C380X50.4","","","","","","","","","","",""
"M_C Shapes: C310X30.8","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","75","305","C310X30.8","","","","","","","","","","",""
"M_C Shapes: C150X15.6","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","52","152","C150X15.6","","","","","","","","","","",""
"M_W Shapes: W1000X249","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","300","980","W1000X249","","","","","","","","","","",""
"M_W Shapes: W1000X222","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","300","970","W1000X222","","","","","","","","","","",""
"M_W Shapes: W920X223","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","305","912","W920X223","","","","","","","","","","",""
"M_W Shapes: W920X201","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","305","904","W920X201","","","","","","","","","","",""
"M_W Shapes: W760X134","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","264","749","W760X134","","","","","","","","","","",""
"M_W Shapes: W410X53","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","178","404","W410X53","","","","","","","","","","",""
"M_W Shapes: W410X46.1","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","140","404","W410X46.1","","","","","","","","","","",""
"M_W Shapes: W410X38.8","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","140","399","W410X38.8","","","","","","","","","","",""
"M_W Shapes: W360X32.9","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","127","348","W360X32.9","","","","","","","","","","",""
"M_W Shapes: W310X21","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","101","302","W310X21","","","","","","","","","","",""
"M_W Shapes: W200X15","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","100","200","W200X15","","","","","","","","","","",""
"M_W Shapes: W150X13","del","2026-03-20","Structural Framing","","Fixed","","","","","","","","","","years","","100","148","W150X13","","","","","","","","","","",""
"M_Formsaver Coupler: FS16M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS16M","","","","","","","","","","",""
"M_Formsaver Coupler: FS36M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS36M","","","","","","","","","","",""
"M_Formsaver Coupler: FS32M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS32M","","","","","","","","","","",""
"M_Formsaver Coupler: FS29M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS29M","","","","","","","","","","",""
"M_Formsaver Coupler: FS25M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS25M","","","","","","","","","","",""
"M_Formsaver Coupler: FS22M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS22M","","","","","","","","","","",""
"M_Formsaver Coupler: FS19M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS19M","","","","","","","","","","",""
"M_Formsaver Coupler: FS13M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","FS13M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA22M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA22M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA57M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA57M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA43M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA43M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA36M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA36M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA32M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA32M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA29M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA29M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA25M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA25M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA19M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA19M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA16M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA16M","","","","","","","","","","",""
"M_Headed Anchor Coupler: HA13M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","HA13M","","","","","","","","","","",""
"M_Standard Coupler: CPL25M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL25M","","","","","","","","","","",""
"M_Standard Coupler: CPL57M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL57M","","","","","","","","","","",""
"M_Standard Coupler: CPL43M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL43M","","","","","","","","","","",""
"M_Standard Coupler: CPL36M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL36M","","","","","","","","","","",""
"M_Standard Coupler: CPL32M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL32M","","","","","","","","","","",""
"M_Standard Coupler: CPL29M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL29M","","","","","","","","","","",""
"M_Standard Coupler: CPL22M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL22M","","","","","","","","","","",""
"M_Standard Coupler: CPL19M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL19M","","","","","","","","","","",""
"M_Standard Coupler: CPL16M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL16M","","","","","","","","","","",""
"M_Standard Coupler: CPL13M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL13M","","","","","","","","","","",""
"M_Transition Coupler: CPL19M-16M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL19M-16M","","","","","","","","","","",""
"M_Transition Coupler: CPL57M-43M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL57M-43M","","","","","","","","","","",""
"M_Transition Coupler: CPL57M-36M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL57M-36M","","","","","","","","","","",""
"M_Transition Coupler: CPL43M-36M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL43M-36M","","","","","","","","","","",""
"M_Transition Coupler: CPL36M-32M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL36M-32M","","","","","","","","","","",""
"M_Transition Coupler: CPL32M-29M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL32M-29M","","","","","","","","","","",""
"M_Transition Coupler: CPL29M-25M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL29M-25M","","","","","","","","","","",""
"M_Transition Coupler: CPL25M-22M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL25M-22M","","","","","","","","","","",""
"M_Transition Coupler: CPL22M-19M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL22M-19M","","","","","","","","","","",""
"M_Transition Coupler: CPL16M-13M","del","2026-03-20","Structural Rebar Couplers","","Fixed","","","","","","","","","","years","","","","CPL16M-13M","","","","","","","","","","",""
